ExportIndex,Index,Emission (gCO2)
0,244d,0.00102025
0,245d,0.00102392
0,246d,0.00102414
0,247d,0.00102425
0,248d,0.00102417
0,249d,0.00102411
0,250d,0.001024
0,251d,0.00102425
0,252d,0.00102433
0,253d,0.00102439
0,254d,0.00102339
0,255d,0.00102483
0,256d,0.00102486
0,257d,0.00102469
0,258d,0.00102447
0,259d,0.00102422
0,260d,0.00102444
0,261d,0.00102478
0,262d,0.00102478
0,263d,0.00102447
0,264d,0.00102478
0,265d,0.00102486
0,266d,0.00102517
0,267d,0.00102514
0,268d,0.00102514
0,269d,0.00102514
0,270d,0.00102542
0,271d,0.00102519
0,272d,0.00102392
0,273d,0.00102425
0,274d,0.00102478
0,275d,0.00102483
0,276d,0.0010245
0,277d,0.00102439
0,278d,0.00102489
0,279d,0.00102444
0,280d,0.00102419
0,281d,0.00102444
0,282d,0.00102486
0,283d,0.00102453
0,284d,0.00102428
0,285d,0.00102431
0,286d,0.00102422
0,287d,0.00102414
0,288d,0.00102442
0,289d,0.00102453
0,290d,0.00102428
0,291d,0.00102431
0,292d,0.00102422
0,293d,0.00102431
0,294d,0.00102436
0,295d,0.00102483
0,296d,0.00102444
0,297d,0.00102456
0,298d,0.00102586
0,299d,0.00102475
0,300d,0.0010245
0,301d,0.00102508
0,302d,0.00102486
0,303d,0.00102453
0,304d,0.00102439
0,305d,0.00102511
0,306d,0.00102628
0,307d,0.00102608
0,308d,0.00102614
0,309d,0.00102608
0,310d,0.00102614
0,311d,0.00102636
0,312d,0.00102619
0,313d,0.00102636
0,314d,0.00102606
0,315d,0.00102606
0,316d,0.00102628
0,317d,0.00102611
0,318d,0.00102617
0,319d,0.00102606
0,320d,0.00102589
0,321d,0.00102586
0,322d,0.00102589
0,323d,0.00102606
0,324d,0.00102611
0,325d,0.00102606
0,326d,0.00102608
0,327d,0.00102633
0,328d,0.00102608
0,329d,0.00102592
0,330d,0.00102606
0,331d,0.00102628
0,332d,0.00102614
0,333d,0.00102581
0,334d,0.00102542
0,335d,0.00102531
0,336d,0.00102186
0,337d,0.00102231
0,338d,0.00102264
0,339d,0.00102286
0,340d,0.00102308
0,341d,0.00102356
0,342d,0.00102314
0,343d,0.00102228
0,344d,0.001023
0,345d,0.00102267
0,346d,0.00102292
0,347d,0.00102289
0,348d,0.00102175
0,349d,0.00102097
0,350d,0.00102156
0,351d,0.00102147
0,352d,0.00102189
0,353d,0.0010225
0,354d,0.00102164
0,355d,0.00102056
0,356d,0.00102008
0,357d,0.00102139
0,358d,0.00102242
0,359d,0.00102261
0,360d,0.00102247
0,361d,0.00102278
0,362d,0.00102233
0,363d,0.00102264
0,364d,0.00102181
0,365d,0.00102417
0,366d,0.00102469
1,1d,0.00102675
1,2d,0.00102639
1,3d,0.00102678
1,4d,0.00102617
1,5d,0.00102597
1,6d,0.00102597
1,7d,0.00102592
1,8d,0.00102617
1,9d,0.00102622
1,10d,0.00102628
1,11d,0.00102611
1,12d,0.00102603
1,13d,0.00102625
1,14d,0.00102606
1,15d,0.00102625
1,16d,0.00102694
1,17d,0.00102594
1,18d,0.00102617
1,19d,0.00102606
1,20d,0.00102608
1,21d,0.00102603
1,22d,0.00102611
1,23d,0.00102606
1,24d,0.001026
1,25d,0.00102664
1,26d,0.00102647
1,27d,0.00102642
1,28d,0.00102625
1,29d,0.00102631
1,30d,0.00102608
1,31d,0.00102644
1,32d,0.00102481
1,33d,0.00102339
1,34d,0
1,35d,0
1,36d,0
1,37d,0
1,38d,0
1,39d,0
1,40d,0
1,41d,0
1,42d,0
1,43d,0
1,44d,0
1,45d,0
1,46d,0
1,47d,0
1,48d,0
1,49d,0
1,50d,0
1,51d,0
1,52d,0
1,53d,0
1,54d,0
1,55d,0
1,56d,0
1,57d,0
