ExportIndex,Index,Emission (gCO2)
31,5h,13.9044
31,6h,14.898
31,7h,17.6808
31,8h,18.9504
31,9h,17.7516
31,10h,17.0832
31,11h,14.0232
31,12h,12.5904
31,13h,11.916
31,14h,12.6084
31,15h,12.9096
31,16h,15.126
31,17h,16.944
31,18h,19.2888
31,19h,19.9272
31,20h,20.2392
31,21h,18.0576
31,22h,16.6032
31,23h,14.6412
31,24h,13.026
32,1h,12.5628
32,2h,11.898
32,3h,10.8684
32,4h,10.3536
32,5h,10.4088
32,6h,10.8924
32,7h,12.0408
32,8h,14.418
32,9h,14.4948
32,10h,13.7976
32,11h,13.1712
32,12h,12.1116
32,13h,10.9128
32,14h,10.7652
32,15h,10.9212
32,16h,11.5392
32,17h,13.2756
32,18h,14.142
32,19h,13.9944
32,20h,13.7208
32,21h,13.512
32,22h,12.8316
32,23h,12.9852
32,24h,12.2616
33,1h,11.7972
33,2h,9.89594
33,3h,0.111178
33,4h,0
33,5h,0
33,6h,0
33,7h,0
33,8h,0
33,9h,0
33,10h,0
33,11h,0
33,12h,0
33,13h,0
33,14h,0
33,15h,0
33,16h,0
33,17h,0
33,18h,0
33,19h,0
33,20h,0
33,21h,0
33,22h,0
33,23h,0
33,24h,0
